Make,Model,Model_Year,Status,Variant,Fuel_Type,Displacement,Cylinders,Image_url,Brand_Image
BMW,3 Series Gran Limousine,2023,Discontinued,3 Series Gran Limousine,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/139177/3-series-gran-limousine-exterior-right-front-three-quarter-3.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,2 Series Gran Coupe [2020-2025],2020,Discontinued,2 Series Gran Coupe,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/48034/2-series-gran-coupe-exterior-right-front-three-quarter-3.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,5 Series [2017-2021],2017,Discontinued,5 Series,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/26911/BMW-5-Series-Right-Front-Three-Quarter-172250.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,3 Series [2019-2023],2019,Discontinued,3 Series,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/37067/BMW-3-Series-Exterior-167583.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,X1 [2020-2023],2020,Discontinued,X1,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/45242/bmw-x1-facelift-right-front-three-quarter2.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,X3 [2022-2025],2022,Discontinued,X3,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/110503/x3-exterior-right-front-three-quarter-3.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,Z4 [2019-2023],2019,Discontinued,Z4,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/37095/BMW-Z4-Roadster-Right-Front-Three-Quarter-153914.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,X3 [2018-2022],2018,Discontinued,X3,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/32888/BMW-X3-Exterior-125761.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,X7 [2019-2023],2019,Discontinued,X7,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/28286/BMW-X7-Right-Front-Three-Quarter-164106.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,X6,2020,Discontinued,X6,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/41375/x6-exterior-right-front-three-quarter.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,6 Series GT [2018-2021],2018,Discontinued,6 Series GT,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/32854/BMW-6-Series-GT-Right-Front-Three-Quarter-154025.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,3 Series Gran Limousine [2021-2023],2021,Discontinued,3 Series Gran Limousine,Petrol,,,https://imgd.aeplcdn.com/664x374/n/cw/ec/52639/3-series-gran-limousine-exterior-right-front-three-quarter-2.jpeg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
BMW,7 Series [2019-2023],2019,Discontinued,7 Series,Petrol,,,https://imgd.aeplcdn.com/664x374/cw/ec/38113/BMW-7-Series-Right-Front-Three-Quarter-164132.jpg,https://imgd.aeplcdn.com/0x0/cw/makes/bmw.webp
